Day,Month,Title,Image,Time,Address,Direction,Description,Readmore_Link,Ticket_Links
7,Sep,iann dior,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxCq6jW3QqqVYo8whDurTZP9DqWd-8VBTaNwxjLMU&s,Aug 31 – Oct 7,"The Novo, 800 W Olympic Blvd a335, Los Angeles, CA, United States",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2c7b782019c1b:0xda9785bec3c53630?sa=X&ved=2ahUKEwjGoLzJopiBAxWaTKQEHTFyAGgQ9eIBegQIARAA,"Within a little over a month of dropping his debut single “Cutthroat,” Texas rapper iann dior amassed more than 13 million streams on SoundCloud, gaining major buzz for his moody and melodic brand...",https://dola.com/events/2023/10/6/iann-dior-tickets,"https://www.axs.com/uk/events/494745/iann-dior-tickets
https://www.lalive.com/events/detail/iann-dior-494745
https://dola.com/events/2023/10/6/iann-dior-tickets
https://local.aarp.org/event/iann-dior-2023-10-06-jb-los-angeles-ca.html
https://www.los-angeles-theatre.com/theaters/the-novo/tickets.php?eventName=Iann+Dior&cmsEventId=&month=10&year=2023"
28,Oct,CCURRENTT,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSE7al1n7xTk1kStWM-_8ZtwkmdQCbTGqAdlxvhhCfSyqEq63KerMnkzQ&s,"Sat, 4:00 – 8:00 PM","The Torch at the LA Memorial Coliseum, 3911 S Figueroa St, Los Angeles, CA, United States",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2c9307123914d:0xed364bba6ed8b79b?sa=X&ved=2ahUKEwjGoLzJopiBAxWaTKQEHTFyAGgQ9eIBegQICRAA,"Check out CCURRENNTT at The Torch at LA Coliseum in on October 28, 2023 and get detailed info for the event - tickets, photos, video and reviews.",https://dola.com/events/2023/10/28/ccurrenntt-tickets,"https://ticketmaster.evyy.net/c/253185/264167/4272?SharedId=DoStuff&u=https%3A%2F%2Fwww.ticketmaster.com%2Fevent%2F0A005F0E3C6B5BC0
https://www.ticketmaster.com/ccurrentt-los-angeles-california-10-28-2023/event/0A005F0E3C6B5BC0
https://www.vividseats.com/ccurrentt-tickets-los-angeles-los-angeles-memorial-coliseum-10-28-2023--concerts-music-festivals/production/4582270?utm_medium=organic&utm_source=google_eventsearch
https://www.ticketsmarter.com/e/ccurrentt-tickets-los-angeles-10-28-2023-the-torch-at-los-angeles-memorial-coliseum/5913309
https://www.discoverlosangeles.com/event/2023/10/28/ccurrentt"
10,Sep,Los Angeles Chargers vs Miami Dolphins,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0bfPk3pmSyfOiTlgpwO9FcZaEibxmtA3HoQJvYK76gFSNFPW_aFS9hr4&s,"Sun, 1:25 – 5:25 PM","SoFi Stadium, 1001 Stadium Dr, Inglewood, CA, United States",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2b786cbfb8f4f:0x5fb99cb7249e4170?sa=X&ved=2ahUKEwjGoLzJopiBAxWaTKQEHTFyAGgQ9eIBegQIERAA,"Used (normal wear), Sunday September 10th, 2023 1:25PM SoFi Stadium Miami Dolphins vs Chargers 2 seats up for sale Section 329/ Row 2 / Seats 3 & 4 Tickets will only be sold in pairs. I’m a...",https://offerup.com/item/detail/1618981558,"https://www.ticketmaster.com/event/09005EB7AC57243E
https://www.vividseats.com/los-angeles-chargers-tickets-sofi-stadium-3-9-2024--sports-nfl-football/production/4311871?utm_medium=organic&utm_source=google_eventsearch
https://ticketmaster.evyy.net/c/253520/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Flos-angeles-chargers-vs-miami-dolphins-inglewood-california-09-10-2023%2Fevent%2F0A005E94DE4F4A90
https://discovertorrance.com/events/chargers-vs-dolphins-at-sofi-stadium/
https://www.foxsports.com/nfl/week-1-miami-dolphins-vs-los-angeles-chargers-sep-10-2023-game-boxscore-10045"
16,Sep,Coastal Country Jam 2023,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5t2NIdpWMt9EXAltjnVXz69MymOtQq61zPZrgmhH0Rj3fpY8O4RWUSdc&s,"Sat, Sep 16 – Sun, Sep 17","Marina Green, 386 E Shoreline Dr, Long Beach, CA, United States",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dd312318e61223:0x21793f7afe199e2e?sa=X&ved=2ahUKEwjGoLzJopiBAxWaTKQEHTFyAGgQ9eIBegQIGRAA,"Coastal Country Jam, the West Coast’s biggest beachside festival, is back and taking over Marina Green Park in Long Beach, CA for an expanded two-day event on September 16 & 17. The return of your...",https://downtownlongbeach.org/event/coastal-country-jam/2023-09-16/,"https://tickets.bootsinthepark.com/e/coastal-country-jam-2024-single/tickets
https://downtownlongbeach.org/event/coastal-country-jam/2023-09-16/
https://bucketlisters.com/experience/coastal-country-jam-festival
https://www.expedia.com/event-tickets/event/coastal-country-jam-blake-shelton-brooks-and-dunn-dustin-lynch-tyler-hubbard-saturday-tickets-marina-green-park-long-beach-ca-9-16-2023-5707334
https://eventhub.net/events/Coastal-Country-Jam-2023_4718"
24,Sep,Eric Clapton's Crossroads Guitar Festival 2023,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_ZCP-sIyVmMWs2RZG5GwutAxorsUze1-8x-crJOg&s,"Sun, 4:00 – 8:00 PM","Crypto.com Arena, 1111 S Figueroa St, Los Angeles, CA, United States",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2c7b85dea2a93:0x1ff47c3ceb7bb2d5?sa=X&ved=2ahUKEwjGoLzJopiBAxWaTKQEHTFyAGgQ9eIBegQIIRAA,"PRIVACY POLICY | PRIVACY SETTINGS | ADVERTISE | ACCESSIBILITY The official guide to Los Angeles. Find great deals, things to do, California travel guides and more. © 2023 Los Angeles Tourism ...",https://www.discoverlosangeles.com/event/2023/09/24/eric-claptons-crossroads-guitar-festival-2023,"https://www.songkick.com/festivals/60426-eric-claptons-crossroads-guitar/id/41069047-eric-claptons-crossroads-guitar-festival-2023?utm_medium=organic&utm_source=microformat
https://www.ticketmaster.com/eric-claptons-crossroads-guitar-festival-2023-los-angeles-california-09-24-2023/event/2C005E8E27E1163D
https://www.bandsintown.com/t/104344365?came_from=209
https://www.vividseats.com/eric-clapton-tickets-los-angeles-cryptocom-arena-9-24-2023--concerts-rock/production/4387240?utm_medium=organic&utm_source=google_eventsearch
https://ticketmaster.evyy.net/c/253520/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Feric-claptons-crossroads-guitar-festival-2023-los-angeles-california-09-24-2023%2Fevent%2F2C005E8E27E1163D"
9,Sep,Tasha Layton @ The Palmdale Amphitheater,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRX1Fv5nTRBU3ezx68ttOlOWdtj-H_wUsEcORux3RGJDfqWAScEtE6Gm94&s,"Sat, 3:30 – 7:30 PM","The Palmdale Amphitheater, 2723 Rancho Vista Blvd, Palmdale, CA, United States",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2595b9e05bfa9:0x846cad5267287f06?sa=X&ved=2ahUKEwjGoLzJopiBAxWaTKQEHTFyAGgQ9eIBegQIKRAA,"Gracefest is back with an amazing all-star lineup!Grammy and Dove Award winner Chris Tomlin will be headlining the event along with We The Kingdom, Tasha Layton, and more artists soon to be...",https://www.cityofpalmdaleca.gov/Calendar.aspx?EID=8216,"https://www.expedia.com/event-tickets/event/gracefest-chris-tomlin-we-the-kingdom-tasha-layton-tickets-palmdale-amphitheatre-palmdale-ca-9-9-2023-5819010
https://www.songkick.com/festivals/3227771-gracefest/id/41174117-gracefest-2023?utm_medium=organic&utm_source=microformat
https://www.bandsintown.com/t/104490126?came_from=209
https://www.itickets.com/register/start/474717
https://ticketmaster.evyy.net/c/253520/271177/4272?u=https%3A%2F%2Fwww.ticketweb.com%2Fevent%2Fgracefest-2023-palmdale-amphitheater-tickets%2F13270708"
16,Sep,Matthew McConaughey celebrates JUST BECAUSE with a...,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6qp87TYVxoyemIjtaQ7E9iVM7XBx-iVHKZMVbCyLpSbr-6_hbIZrODag&s,Saturday,"The Grove, 189 The Grove Dr, Los Angeles, CA, United States",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2b92fc2d303c3:0xc3906f8fff88db6e?sa=X&ved=2ahUKEwjGoLzJopiBAxWaTKQEHTFyAGgQ9eIBegQIMRAA,"Join Barnes & Noble - The Grove at Farmers Market on Saturday, September 16, 2023, as welcome Academy Award-winning actor and #1 New York Times bestselling author Matthew McConaughey to the store...",https://stores.barnesandnoble.com/event/9780062159270-0,"https://www.eventbrite.com/e/matthew-mcconaughey-celebrates-the-release-of-just-because-at-bn-the-grove-tickets-681367186597
https://www.vividseats.com/matthew-mcconaughey-tickets-los-angeles-barnes-and-noble---the-grove-9-16-2023--theater-public-speaking/production/4530320?utm_medium=organic&utm_source=google_eventsearch
https://www.ticketsmarter.com/e/matthew-mcconaughey-tickets-los-angeles-9-16-2023-barnes-and-noble-the-grove/5853146
https://allevents.in/los%20angeles/matthew-mcconaughey-celebrates-the-release-of-just-because-at-bandn-the-grove/10000681367186597
https://stores.barnesandnoble.com/event/9780062159270-0"
17,Sep,Los Angeles Rams vs San Francisco 49ers,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8vscWzcHxPsyoCMPU4HvJk9IIXQppXwVlgo8vo3IQ-3uotfhWCMpYHWE&s,"Sun, 1:05 – 5:05 PM","SoFi Stadium, 1001 Stadium Dr, Inglewood, CA, United States",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2b786cbfb8f4f:0x5fb99cb7249e4170?sa=X&ved=2ahUKEwjGoLzJopiBAxWaTKQEHTFyAGgQ9eIBegQIORAA,"Root on your favorite team Sunday, September 17th at 1 p.m. as the San Francisco 49ers face-off the LA Rams. Purchase your tickets by clicking here.",https://www.teamsters1932.org/event/san-francisco-49ers-vs-la-rams/,"https://www.ticketmaster.com/event/09005EB7AC592440
https://www.vividseats.com/los-angeles-rams-tickets-sofi-stadium-3-12-2024--sports-nfl-football/production/4311887?utm_medium=organic&utm_source=google_eventsearch
https://suitehop.com/venues/sofi-stadium-suites/san-francisco-49ers-at-los-angeles-rams-september-17-2023-105-pm/shared-suite-378936
https://ticketmaster.evyy.net/c/253520/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Flos-angeles-rams-vs-san-francisco-inglewood-california-09-17-2023%2Fevent%2F0A005E95A3062933
https://www.teamsters1932.org/event/san-francisco-49ers-vs-la-rams/"
15,Oct,Los Angeles Rams vs Arizona Cardinals,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTA6Nm_zgopx45Mw3UYoH-aXkuVfWlx3pgy2K5tUGd9B211imdiqeNgZxw&s,"Sun, 1:25 – 5:25 PM","SoFi Stadium, 1001 Stadium Dr, Inglewood, CA, United States",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2b786cbfb8f4f:0x5fb99cb7249e4170?sa=X&ved=2ahUKEwjGoLzJopiBAxWaTKQEHTFyAGgQ9eIBegQIQRAA,"Address: SoFi Stadium - 1000 S Prairie Ave, Inglewood, CA 90301 Website: https://www.sofistadium.com/upcoming-events/",https://discovertorrance.com/events/rams-vs-cardinals-at-sofi-stadium/,"https://www.ticketmaster.com/event/09005EB7AC622452
https://www.vividseats.com/los-angeles-rams-tickets-sofi-stadium-3-11-2024--sports-nfl-football/production/4311886?utm_medium=organic&utm_source=google_eventsearch
https://suitehop.com/venues/sofi-stadium-suites/arizona-cardinals-at-los-angeles-rams-october-15-2023-125-pm/shared-suite-377149
https://ticketmaster.evyy.net/c/253520/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Flos-angeles-rams-vs-arizona-cardinals-inglewood-california-10-15-2023%2Fevent%2F0A005E95A2E7290C
https://discovertorrance.com/events/rams-vs-cardinals-at-sofi-stadium/"
1,Oct,Los Angeles Chargers vs Las Vegas Raiders,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQ3Lalu4xGQoNntLODoGQEUx0qvqW0IxTa1I8nvbtAdvwfWZMVA6EwcjE&s,"Sun, 1:05 – 5:05 PM","SoFi Stadium, 1001 Stadium Dr, Inglewood, CA, United States",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2b786cbfb8f4f:0x5fb99cb7249e4170?sa=X&ved=2ahUKEwjGoLzJopiBAxWaTKQEHTFyAGgQ9eIBegQISRAA,"Address: SoFi Stadium - 1000 S Prairie Ave, Inglewood, CA 90301 Website: https://www.sofistadium.com/upcoming-events/",https://discovertorrance.com/events/chargers-vs-raiders-at-sofi-stadium/,"https://www.ticketmaster.com/event/09005EB7AC5D2444
https://www.vividseats.com/los-angeles-chargers-tickets-sofi-stadium-3-3-2024--sports-nfl-football/production/4311851?utm_medium=organic&utm_source=google_eventsearch
https://ticketmaster.evyy.net/c/253520/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Flos-angeles-chargers-vs-las-vegas-inglewood-california-10-01-2023%2Fevent%2F0A005E94DE4A4A8C
https://discovertorrance.com/events/chargers-vs-raiders-at-sofi-stadium/
https://www.foxsports.com/nfl/week-4-las-vegas-raiders-vs-los-angeles-chargers-oct-01-2023-game-boxscore-10185"
